County Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,Cannon,Carroll,Carter,Cheatham,Chester,Claiborne,Clay,Cocke,Coffee,Crockett,Cumberland,Davidson,Decatur,Dekalb,Dickson,Dyer,Fayette,Fentress,Franklin,Gibson,Giles,Grainger,Greene,Grundy,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,Lake,Lauderdale,Lawrence,Lewis,Lincoln,Loudon,Macon,Madison,Marion,Marshall,Maury,McMinn,McNairy,Meigs,Monroe,Montgomery,Moore,Morgan,Obion,Overton,Perry,Pickett,Polk,Putnam,Rhea,Roane,Robertson,Rutherford,Scott,Sequatchie,Sevier,Shelby,Smith,Stewart,Sullivan,Sumner,Tipton,Trousdale,Unicoi,Union,Van Buren,Warren,Washington,Wayne,Weakley,White,Williamson,Wilson
Anderson,0.000000,133.275110,215.937131,66.882277,33.468457,76.230992,19.868811,106.307088,237.578502,116.016168,161.258445,251.962716,39.246822,80.579851,61.625289,113.668468,276.916057,46.149776,144.250658,91.741449,221.691168,176.135695,291.008706,299.436875,44.693870,125.378967,264.381811,171.238815,39.904737,75.527890,99.175681,52.387457,84.452618,61.111574,276.223853,232.458788,73.263440,286.978699,236.543462,229.000584,184.316356,196.388678,199.690902,83.796757,42.233784,132.664281,16.964782,295.290397,304.651557,189.827679,188.915703,150.199187,27.243458,104.599458,262.013499,105.115650,150.580017,164.749630,53.344067,253.421479,54.164729,46.764043,179.099430,134.118298,25.163287,276.172667,62.672843,207.406908,57.437521,71.324790,72.335790,53.752547,26.044457,151.290806,125.405754,27.322479,85.307043,44.181254,325.970203,98.411898,204.242372,108.858001,128.194133,314.150466,110.666223,98.524031,23.268823,75.966337,93.449699,95.546171,210.269399,252.081478,71.426624,151.623876,117.286981
Bedford,133.275110,0.000000,97.978299,70.665741,142.739105,93.452142,142.954303,30.186968,116.026963,248.142792,62.423532,121.330640,170.128588,87.982945,189.255232,21.651441,151.798111,87.239640,48.812153,47.613761,92.887203,66.708649,169.736471,167.869702,104.226136,32.257549,142.567222,38.924243,173.168688,207.320582,42.312666,185.107099,76.427940,193.757202,144.272438,99.584740,206.536870,158.776488,108.764573,117.489924,60.319180,88.294809,82.250602,73.057415,172.780634,265.468761,145.138239,178.906350,178.796135,56.577235,58.131275,26.798896,121.469276,74.695250,133.826059,54.112690,17.486720,35.441364,103.737000,120.824039,92.493188,124.152585,85.274470,16.801612,110.025617,161.291024,87.061194,79.132494,105.710828,112.398334,69.176981,86.445992,110.994352,73.546467,22.833656,126.213421,59.789848,165.723627,194.794906,58.113932,102.889044,242.073910,65.986192,185.366699,62.955341,229.195527,156.059128,57.880157,39.864420,228.001767,77.189400,137.460830,63.070627,36.009545,45.255136
Benton,215.937131,97.978299,0.000000,163.581068,233.273025,190.893200,219.465055,113.620922,22.352799,331.419532,56.287222,54.179544,247.027756,144.339806,276.524569,118.617892,62.446057,171.666725,71.928122,124.996710,32.313130,40.072646,75.101253,96.635601,175.987758,127.653648,48.526961,83.390140,254.484586,291.353083,139.649735,267.914850,174.138049,271.502773,79.022628,60.503705,286.411989,75.894455,33.818064,22.268111,38.019983,24.618342,16.462244,134.920053,257.985819,347.080400,230.737593,81.499158,89.936564,69.924324,49.407403,104.951855,211.364209,119.050282,53.621196,151.924368,83.984863,63.693798,198.442443,67.722512,186.319534,218.137635,48.225628,110.159080,190.800511,63.405280,156.060007,31.739591,169.930625,209.564394,143.631689,178.837426,198.728130,73.708699,93.632303,200.041256,156.603031,254.824845,119.328269,118.379987,32.421245,322.219962,93.670960,102.501738,108.770081,314.459022,236.274844,148.594818,130.933546,310.836505,59.423587,39.488158,146.313457,66.473881,99.110735
Bledsoe,66.882277,70.665741,163.581068,0.000000,72.079917,36.210573,81.142017,50.220260,183.627746,178.633071,114.787552,191.949753,105.881534,68.582104,118.954440,49.407804,221.105534,27.048672,96.828242,44.016761,163.027271,126.290306,237.760412,238.515209,56.246605,58.511682,210.577612,106.524277,105.780993,137.907097,32.446705,116.577062,28.787563,127.882138,214.884700,169.930852,139.066387,229.018419,178.688228,180.332847,127.988091,148.283402,147.158752,58.810020,103.353742,196.414566,76.121206,245.018515,248.463237,126.028591,128.609519,84.042665,51.011715,78.604991,203.986148,39.893280,88.096294,105.099424,35.089518,191.281087,22.753225,54.569217,136.556583,68.376814,48.485815,226.548012,51.900048,148.999909,66.824291,50.565236,40.947097,15.782622,41.987350,112.954613,70.026810,69.549147,19.373471,95.160612,265.456557,61.695818,159.733707,173.861197,92.451452,255.788110,76.457973,159.192903,90.140197,15.497818,32.677076,158.827797,147.419793,202.245080,26.751462,97.111379,72.401325
Blount,33.468457,142.739105,233.273025,72.079917,0.000000,64.171250,51.017182,120.008742,254.063338,108.810667,181.042479,263.969170,57.101339,108.200765,47.950842,121.450496,292.291245,62.762809,163.297375,108.668539,234.798503,194.501016,308.117476,310.595103,73.845030,127.338120,281.059482,178.084042,46.848680,69.139910,103.063542,51.913202,78.002215,69.831337,286.960250,241.938015,75.550589,300.764623,250.320054,248.417817,198.984063,215.832853,216.817820,108.071679,36.743473,127.299708,21.139902,314.164366,319.812975,197.858283,200.582292,154.567589,21.912690,129.959648,275.707662,102.956810,160.176172,176.888847,42.889706,263.315018,51.278891,24.956625,200.839071,139.601535,50.934236,295.329898,88.628039,220.678869,87.914024,51.639110,93.204757,56.312137,35.278774,174.193085,139.996853,60.508553,86.260934,23.479115,337.533669,119.992511,225.430328,106.924724,151.423479,327.640475,133.753643,88.493556,41.769954,85.644021,103.931217,90.098542,219.409411,271.018024,87.241292,167.139150,136.752492
Bradley,76.230992,93.452142,190.893200,36.210573,64.171250,0.000000,95.004642,81.313265,209.461433,172.154545,146.411866,212.373454,113.864686,103.789567,111.252022,72.299770,244.896765,55.536283,128.762641,78.991450,185.532266,156.041260,263.173810,257.078846,84.783597,69.588588,236.015077,122.812176,108.318420,133.171858,51.271796,115.623159,17.326336,131.704426,233.302616,187.680258,139.282813,250.852275,201.558334,209.317602,153.648366,178.236109,174.792396,94.884179,100.655348,190.882784,77.727516,272.175883,271.563493,143.183080,150.555653,97.648872,50.568614,114.801989,226.176436,43.083622,109.541892,128.853878,23.143158,209.083839,24.912781,39.585165,168.969743,85.045268,68.754399,254.298127,85.668231,172.157657,97.715463,19.136877,76.903392,31.602340,51.505521,147.098284,99.619834,90.231812,34.494291,86.809354,284.153792,97.550425,190.945043,171.070704,127.606309,276.874494,112.200694,151.391865,97.018171,50.135432,63.136209,154.018442,165.348431,230.239312,62.959320,125.460688,106.412977
Campbell,19.868811,142.954303,219.465055,81.142017,51.017182,95.004642,0.000000,114.315592,241.505263,112.708674,163.690738,258.665139,27.752276,78.095738,66.146584,124.730320,281.316249,56.729584,147.564980,98.265484,227.963213,179.398071,294.146372,306.362311,43.552128,138.838525,267.979144,181.631906,36.655115,74.247239,112.502657,50.774929,101.797310,52.170999,283.525814,240.787184,66.987607,292.354053,242.266247,230.892107,190.009050,198.586564,203.537009,84.766793,46.112143,127.697920,30.702682,297.139352,309.040556,199.365277,196.412505,162.124749,47.057438,103.550399,267.600347,120.616768,159.836114,172.302888,72.474093,261.357796,71.825460,66.596183,179.702121,145.809800,33.436400,277.919489,63.437786,213.716382,52.486455,91.077332,77.085835,69.901074,43.664150,151.347043,132.260508,19.752242,100.294541,55.160716,332.528617,101.095245,204.993300,102.755017,128.461642,319.573739,111.574347,97.723749,19.095804,87.635507,103.818728,92.191799,218.984552,254.150108,79.901586,157.279821,121.011860
Cannon,106.307088,30.186968,113.620922,50.220260,120.008742,81.313265,114.315592,0.000000,134.100211,222.152516,65.210091,145.706671,141.821517,58.829521,164.736355,21.977753,172.343229,60.290046,47.460278,17.427175,115.658098,76.082556,188.200788,193.132419,74.359506,45.171891,161.095911,68.895302,146.101851,181.437864,34.710370,158.635689,66.500891,165.818801,169.929882,126.543017,179.245361,181.353075,130.830751,130.112603,79.051838,98.121303,97.166559,43.760925,147.186698,238.970646,119.516644,194.948305,199.928230,85.370583,82.616132,54.846893,98.164873,50.037317,156.305114,53.031764,45.916227,58.444938,85.292500,147.295137,72.956654,104.632228,87.656748,39.851788,82.088296,176.396359,56.880603,101.402266,75.529012,98.731252,39.090360,65.246218,86.175571,66.956500,20.019292,96.880621,47.427600,142.125847,219.704773,31.065571,109.993873,215.034857,50.751892,208.416748,40.632876,203.914210,128.506817,35.009303,18.234666,201.769719,104.669015,152.080033,34.898026,47.213410,27.347329
Carroll,237.578502,116.026963,22.352799,183.627746,254.063338,209.461433,241.505263,134.100211,0.000000,353.248622,78.612054,39.158414,269.112686,166.662550,297.878860,137.257873,40.099684,192.927637,93.945070,146.264567,31.927687,62.240726,54.135062,76.178091,198.078369,143.998501,26.996871,95.671430,276.334611,313.063833,158.228481,289.683474,192.451587,293.590207,61.071085,55.524616,308.410632,53.902582,22.302135,26.118506,55.902793,46.246047,37.976179,157.084885,279.522819,369.045600,252.161639,63.306933,67.655160,78.934825,61.850313,119.325092,232.182621,141.399666,33.292399,169.235146,100.691301,80.755472,218.225861,55.449151,206.288651,238.175129,69.589872,126.653602,212.480229,47.148620,178.148019,40.219319,192.210772,228.346823,165.364121,199.078686,219.788657,95.878417,114.086793,222.141602,175.499114,275.892567,97.682505,140.412909,49.907229,344.248643,116.023410,80.255046,131.055652,336.092743,258.154728,168.896067,150.957863,332.673710,62.817743,26.953525,167.450158,86.924206,121.008241
Carter,116.016168,248.142792,331.419532,178.633071,108.810667,172.154545,112.708674,222.152516,353.248622,0.000000,276.050025,367.859185,86.245569,190.654186,60.964387,227.638441,392.765454,161.862780,259.521038,207.748866,337.680371,291.438737,406.352102,415.231346,156.134087,235.712934,379.935432,285.106419,76.938262,40.822211,210.694228,63.648848,186.744374,62.872865,391.903250,347.697577,46.579889,402.989368,352.559629,343.476172,300.326491,311.066207,315.293801,197.298161,75.384505,18.980288,103.005528,409.763021,420.509939,304.361117,304.664026,262.450978,127.944547,216.220066,378.029177,211.745604,265.596202,280.534332,151.687444,368.836391,159.578902,132.615751,292.410012,246.992873,140.907746,390.554791,175.877021,323.398437,164.778317,156.854370,187.899389,163.317495,137.194189,264.050759,241.400812,132.452345,194.490344,85.514856,441.854687,213.182345,317.700924,18.095106,241.167311,430.165036,224.201055,21.132024,95.174345,190.272705,208.343937,20.587155,325.332190,366.706997,187.347233,267.617894,232.867555
